apk_name,total,vuln
allsafe.apk,149,36
org.schabi.newpipe_1008_cb84069.apk,11070,707
Vuldroid.apk,47,15
calendar-fdroid-release.apk,236,15
"istark.vpn.starkreloaded_5.1-34_minAPI21(arm64-v8a,armeabi,armeabi-v7a,mips,x86,x86_64)(nodpi)_apkmirror.com.apk",0,0
net.thunderbird.android_20.apk,95,25
dvba_v1.1.0.apk,77,15
Neo_Store_1.2.4_release.apk,2939,139
InsecureBankv2.apk,88,19
AndroGoat.apk,371,70
com.beemdevelopment.aegis_81.apk,1428,80
de.danoeh.antennapod_3110095.apk,6169,580
InsecureShop.apk,336,20
